t,C(t)
10667.0,0.0009084231706951192
10668.0,0.0010483390167089382
10669.0,0.0011254851993147822
10670.0,0.0011745337914442265
10671.0,0.0012412483712407759
10672.0,0.001235138118548538
10673.0,0.0012230100834660612
10674.0,0.0011353631463809641
10675.0,0.001112901846748439
10676.0,0.0011936802279624403
10677.0,0.0012544651214345525
10678.0,0.0013391960994707313
10679.0,0.0013469818716300758
10680.0,0.001274206007211951
10681.0,0.0011088846344887442
10682.0,0.000860628612795347
10683.0,0.000645313784208428
10684.0,0.00044939686982383884
10685.0,0.00036698305802938087
10686.0,7.032161656590954e-05
10687.0,-0.00019693036125272706
10688.0,-0.00037286370856629914
10689.0,-0.0004266685778005366
10690.0,-0.00045754048302208293
10691.0,-0.0004168566656856097
10692.0,-0.0002554027059175045
10693.0,-0.0001093962539380454
10694.0,-2.1518221503591236e-05
10695.0,0.00017072629450572737
10696.0,0.0003577662011739531
10697.0,0.0005792647246580509
10698.0,0.0008290110673866651
10699.0,0.0010197055090139322
10700.0,0.0010581193024729848
10701.0,0.001000788392162857
10702.0,0.0009261576877410471
10703.0,0.0008911360244333525
10704.0,0.0008825526662021112
10705.0,0.000894233825078065
10706.0,0.000980598936454918
10707.0,0.00110607989607282
10708.0,0.0012010400971705294
10709.0,0.0013505359565616634
10710.0,0.0014509647557379185
10711.0,0.0015876155546955275
10712.0,0.00165719261035607
10713.0,0.00158125388083837
10714.0,0.0015449708275254745
10715.0,0.0016337330542230489
10716.0,0.0016698123711562074
10717.0,0.0017529653392051225
10718.0,0.0018457251280364975
10719.0,0.0019324445375362687
10720.0,0.0019277732700026897
10721.0,0.0019245942355525713
10722.0,0.0018669279213537207
10723.0,0.0018649846819169245
10724.0,0.0018287923424594255
10725.0,0.0018092907448573683
10726.0,0.0017019043899432849
10727.0,0.0015680756531581824
10728.0,0.0014464688645698814
10729.0,0.0013037251312636197
10730.0,0.001134459424716549
10731.0,0.0009268126493366363
10732.0,0.0006956878527996811
10733.0,0.00043593594359405964
10734.0,0.0002090572558594176
10735.0,1.761650640208473e-05
10736.0,-0.00010786761258975474
10737.0,-0.000235677519945395
10738.0,-0.0004077891665160997
10739.0,-0.0005547540566271919
10740.0,-0.0008521779753776553
10741.0,-0.0011416552602647096
10742.0,-0.0012834783599863992
10743.0,-0.0013635816820495696
10744.0,-0.001417099366472782
10745.0,-0.0014401469594228528
10746.0,-0.0014599631634278187
10747.0,-0.0015129389868074072
10748.0,-0.0014577355224966164
10749.0,-0.001356517906139345
10750.0,-0.0012752862748141908
10751.0,-0.0012822063707970855
10752.0,-0.0012496650547029681
10753.0,-0.0012418559088257178
10754.0,-0.0012668203185554814
10755.0,-0.0011938376076603009
10756.0,-0.0011371587124986255
10757.0,-0.0011221086086268036
10758.0,-0.0010917588185302815
10759.0,-0.0010222470405715828
10760.0,-0.0009717874699247077
10761.0,-0.0009648475065464652
10762.0,-0.0010101454033412639
10763.0,-0.0011532943228294687
10764.0,-0.00121279509631814
10765.0,-0.0013649597290425128
10766.0,-0.0014495486651040293
10767.0,-0.0015468383704468915
10768.0,-0.001621480986824001
10769.0,-0.0016675604053443091
10770.0,-0.0017050749266751806
10771.0,-0.0016578710127662865
10772.0,-0.001718273688702289
10773.0,-0.0017703500709129964
10774.0,-0.0019084354003904903
10775.0,-0.002015567325401766
10776.0,-0.0021636194551334
10777.0,-0.002268181059381268
10778.0,-0.002335910756939861
10779.0,-0.002327167462015527
10780.0,-0.0023139312972043882
10781.0,-0.002318856531722545
10782.0,-0.0022664024681687727
10783.0,-0.0022493428228274287
10784.0,-0.0023685047252592697
10785.0,-0.0024424832310891735
10786.0,-0.0025408360116234495
10787.0,-0.0025671608000723527
10788.0,-0.002580373575752633
10789.0,-0.002509089316961564
10790.0,-0.0024688111061739286
10791.0,-0.002528379506167633
10792.0,-0.0026097724780618104
10793.0,-0.002559870251796463
10794.0,-0.0026195567928541607
10795.0,-0.0026874180771569458
10796.0,-0.0027168332146302117
10797.0,-0.002666836580585821
10798.0,-0.0025304148133498947
10799.0,-0.002445320086293967
10800.0,-0.0023051001715946214
10801.0,-0.0022761133635122513
10802.0,-0.0023316319822205907
10803.0,-0.0023111257723110097
10804.0,-0.0023930884819066294
10805.0,-0.002439428947357765
10806.0,-0.002575096891413359
10807.0,-0.0026695838689783304
10808.0,-0.0027169137526257625
10809.0,-0.0028070842626062324
10810.0,-0.002786752556141051
10811.0,-0.002740045285653888
10812.0,-0.002683062804076484
10813.0,-0.002670371969380186
10814.0,-0.002677969811024431
10815.0,-0.002660940448921676
10816.0,-0.0026685770522670376
10817.0,-0.0026285195424298633
10818.0,-0.002488791127975446
10819.0,-0.002387328794506105
10820.0,-0.0021688685055705104
10821.0,-0.0019450078857749323
10822.0,-0.0016880360541383344
10823.0,-0.0015745987593930519
10824.0,-0.0015445956521821604
10825.0,-0.001564225234485397
10826.0,-0.0015655549574443933
10827.0,-0.0015591728753782386
10828.0,-0.0014598636583638106
10829.0,-0.0013409741588323693
10830.0,-0.0012843476065880653
10831.0,-0.001139316359550359
10832.0,-0.0010787600558572763
10833.0,-0.0010326323384888109
10834.0,-0.0010790182853224924
10835.0,-0.0012210814664631326
10836.0,-0.0012778536940748334
10837.0,-0.0013195935182394444
10838.0,-0.0013470952709164908
10839.0,-0.001185170666296876
10840.0,-0.0010374579587401765
10841.0,-0.0008867556517142907
10842.0,-0.0008595522135249622
10843.0,-0.0008369714203369795
10844.0,-0.0007992340598215349
10845.0,-0.0006797923880525725
10846.0,-0.0004336245026782609
10847.0,-0.00024117045519178755
10848.0,-1.866383205833738e-05
10849.0,7.296816932948942e-05
10850.0,0.00027194737876166226
10851.0,0.0005158401841932603
10852.0,0.0007642566682526623
10853.0,0.0010032269346185079
10854.0,0.001214228805903976
10855.0,0.0013784505191955032
10856.0,0.0014425571198305933
10857.0,0.0015488325037791748
10858.0,0.0016644831987913228
10859.0,0.0016846828588835889
10860.0,0.0018308749303912095
10861.0,0.0018037842178238494
10862.0,0.0016964651347195926
10863.0,0.0016470118035359432
10864.0,0.0015981503225848937
10865.0,0.0014308018327117656
10866.0,0.0012015811202871927
10867.0,0.0010092243654891884
10868.0,0.0008888172045309447
10869.0,0.0007419323160175512
10870.0,0.0005732668621414518
10871.0,0.0003488282920527502
10872.0,0.00011379484505393265
10873.0,-0.00015680047180239437
10874.0,-0.0005044881043256352
10875.0,-0.0008321156226280386
10876.0,-0.001114257384137431
10877.0,-0.0013402355487998133
10878.0,-0.0015076116484558206
10879.0,-0.0015379980962258
10880.0,-0.0014024489601475454
10881.0,-0.0013559288129648501
10882.0,-0.0013931204053776415
10883.0,-0.0014218003682381658
10884.0,-0.0014729794860483753
10885.0,-0.0015196873397175543
10886.0,-0.0015155160794363485
10887.0,-0.001554927730817334
10888.0,-0.001751851882206731
10889.0,-0.0018857240389572587
10890.0,-0.0020025863505201383
10891.0,-0.002143452431183496
10892.0,-0.0022947295016016254
10893.0,-0.002504896871043611
10894.0,-0.00266868284559692
10895.0,-0.0027593562776161385
10896.0,-0.002834077983777955
10897.0,-0.0029144572775662457
10898.0,-0.0030302315441605933
10899.0,-0.00302307407082306
10900.0,-0.003032861787382374
10901.0,-0.0029153117643734567
10902.0,-0.00285148209880321
10903.0,-0.0027292507012474775
10904.0,-0.0026476203223274293
10905.0,-0.0025147992476214796
10906.0,-0.002356130661523708
10907.0,-0.002185631639593065
10908.0,-0.002185561757807511
10909.0,-0.0022242936885304237
10910.0,-0.002233289933421313
10911.0,-0.0022789020709480506
10912.0,-0.0023414784526113843
10913.0,-0.0024806246398499836
10914.0,-0.0025214130904417705
10915.0,-0.002535080393462803
10916.0,-0.0025831557552554603
10917.0,-0.0026996449181595876
10918.0,-0.002806429232364603
10919.0,-0.0028549077494408838
10920.0,-0.0029391363218165423
10921.0,-0.0029238491918485497
10922.0,-0.0030248786618587804
10923.0,-0.003058437581533921
10924.0,-0.0029494693748360686
10925.0,-0.0028284296168987334
10926.0,-0.0027604576649060573
10927.0,-0.00269756686924112
10928.0,-0.0026229444399328366
10929.0,-0.0025076581816625577
10930.0,-0.0022019623988889865
10931.0,-0.002014955545813046
10932.0,-0.001886583721335399
10933.0,-0.0016473108277020396
10934.0,-0.0013388223536173966
10935.0,-0.0010856069287207804
10936.0,-0.0008817756250052844
10937.0,-0.0007801927378009538
10938.0,-0.0006933715728730442
10939.0,-0.0006204821837174793
10940.0,-0.00047420769828076815
10941.0,-0.00022421095919519503
10942.0,5.3062807753040034e-05
10943.0,0.00034747324139022617
10944.0,0.0006815086918148304
10945.0,0.0009373595727864954
10946.0,0.0011602587531505384
10947.0,0.0012773530885955503
10948.0,0.0012571119623009449
10949.0,0.0011972390668799967
10950.0,0.001223064894648497
10951.0,0.0012138807897751546
10952.0,0.001217608369838771
10953.0,0.001254970505167285
10954.0,0.001263051135721358
10955.0,0.0014587899156585755
10956.0,0.001649091059766352
10957.0,0.0017766834221132
10958.0,0.001895274854744749
10959.0,0.0021262436737084973
10960.0,0.002278927959037949
10961.0,0.002467597471410254
10962.0,0.002638201235434328
10963.0,0.002800042731945768
10964.0,0.0029687191365093003
10965.0,0.0031445651864121234
10966.0,0.00319860748064002
10967.0,0.0033586183458208635
10968.0,0.00340663794489286
10969.0,0.003370232742889178
10970.0,0.003209504343009928
10971.0,0.0030823364855538933
10972.0,0.0028470496003512808
10973.0,0.002718563322998047
10974.0,0.0024357085229431666
10975.0,0.0021539418318829184
10976.0,0.0018364103587135555
10977.0,0.001334308807219612
10978.0,0.000941877219767405
10979.0,0.0006057120853660552
10980.0,0.0002835483000099909
10981.0,-9.88690237493571e-05
10982.0,-0.0004895983142641717
10983.0,-0.000804873367612348
10984.0,-0.0011214227240563253
10985.0,-0.001498859167015149
10986.0,-0.0018412465408713255
10987.0,-0.0021387789915523515
10988.0,-0.002357825158121678
10989.0,-0.002507851085992489
10990.0,-0.0026823520222867925
10991.0,-0.002825200294879936
10992.0,-0.0028583870006313834
10993.0,-0.0028346136056721866
10994.0,-0.0028517973009123325
10995.0,-0.0026840544191835286
10996.0,-0.002454188546691888
10997.0,-0.002155236070059187
10998.0,-0.0018976075911694445
10999.0,-0.0018818678795215333
11000.0,-0.00182456886991907
